Job Number,Operation,Machine,Release Date,Planned Finish,Proc Time (hrs),Priority Class,Outsourcing Cost,Can Outsource,Customer Name
J201,Op1,M1,2025-01-01,2025-01-03,2.5,HIGH,150,Yes,Acme Corp
J201,Op2,M2,2025-01-01,2025-01-03,1.8,HIGH,120,No,Acme Corp
J202,Op1,M3,2025-01-02,2025-01-05,3.2,MEDIUM,200,Yes,Beta Industries
J202,Op2,M1,2025-01-02,2025-01-05,2.1,MEDIUM,100,No,Beta Industries
J202,Op3,M4,2025-01-02,2025-01-05,1.5,MEDIUM,180,Yes,Beta Industries
J203,Op1,M2,2025-01-01,2025-01-04,1.9,LOW,90,Yes,Gamma LLC
J203,Op2,M5,2025-01-01,2025-01-04,2.3,LOW,110,No,Gamma LLC
J204,Op1,M1,2025-01-03,2025-01-07,4.5,HIGH,300,No,Delta Systems
J204,Op2,M3,2025-01-03,2025-01-07,3.8,HIGH,250,Yes,Delta Systems
J204,Op3,M4,2025-01-03,2025-01-07,2.0,HIGH,150,No,Delta Systems
J205,Op1,M2,2025-01-02,2025-01-06,2.8,MEDIUM,170,Yes,Epsilon Tech
J205,Op2,M1,2025-01-02,2025-01-06,3.5,MEDIUM,200,No,Epsilon Tech
J206,Op1,M5,2025-01-04,2025-01-08,1.5,LOW,80,Yes,Zeta Manufacturing
J206,Op2,M3,2025-01-04,2025-01-08,2.2,LOW,100,No,Zeta Manufacturing
J207,Op1,M4,2025-01-01,2025-01-05,3.0,HIGH,220,Yes,Theta Works
J207,Op2,M2,2025-01-01,2025-01-05,2.5,HIGH,180,No,Theta Works
J207,Op3,M1,2025-01-01,2025-01-05,1.8,HIGH,120,Yes,Theta Works
J208,Op1,M3,2025-01-03,2025-01-07,2.9,MEDIUM,160,Yes,Iota Precision
J208,Op2,M5,2025-01-03,2025-01-07,1.7,MEDIUM,90,No,Iota Precision
J209,Op1,M1,2025-01-05,2025-01-09,4.2,LOW,250,No,Kappa Industries
J209,Op2,M4,2025-01-05,2025-01-09,3.1,LOW,190,Yes,Kappa Industries
J210,Op1,M2,2025-01-04,2025-01-08,2.4,MEDIUM,140,Yes,Lambda Corp
J210,Op2,M3,2025-01-04,2025-01-08,3.3,MEDIUM,200,No,Lambda Corp
J210,Op3,M5,2025-01-04,2025-01-08,1.9,MEDIUM,110,Yes,Lambda Corp
J211,Op1,M4,2025-01-02,2025-01-06,3.7,HIGH,260,Yes,Mu Systems
J211,Op2,M1,2025-01-02,2025-01-06,2.6,HIGH,170,No,Mu Systems
J212,Op1,M5,2025-01-06,2025-01-10,2.1,LOW,100,Yes,Nu Engineering
J212,Op2,M2,2025-01-06,2025-01-10,2.8,LOW,130,No,Nu Engineering
J213,Op1,M3,2025-01-05,2025-01-09,3.5,MEDIUM,210,Yes,Xi Manufacturing
J213,Op2,M4,2025-01-05,2025-01-09,2.7,MEDIUM,160,No,Xi Manufacturing
J213,Op3,M1,2025-01-05,2025-01-09,1.6,MEDIUM,95,Yes,Xi Manufacturing
