Job_ID,Operation_ID,Op_Seq,Part_Type,Quantity,Op_Type,Mat_Type,Tool_Group,Proc_Time_per_Unit,Setup_Time,Transfer_Min,Release_Day,Due_Day,Priority,Outsource_Flag,Vendor_Ref
J101,J101_Op1,1,A,150,MILLING,ALUM,TGA,0.43,30,5,7,14,3,Y,V_Mill_Std
J101,J101_Op2,2,A,150,TURNING,ALUM,TGB,0.27,20,5,7,14,3,N,
J102,J102_Op1,1,B,200,TURNING,STEEL,TGC,0.3,35,5,15,22,2,Y,V_Turn_Std
J102,J102_Op2,2,B,200,MILLING,STEEL,TGA,0.22,25,5,15,22,2,N,
J102,J102_Op3,3,B,200,GRINDING,STEEL,TGD,0.08,10,5,15,22,2,Y,V_Grind_Pro
J103,J103_Op1,1,C,80,MILLING,BRASS,TGB,0.56,25,5,29,36,4,Y,V_Mill_Std
J103,J103_Op2,2,C,80,DRILLING,BRASS,TGC,0.18,15,5,29,36,4,N,
J104,J104_Op1,1,D,300,TURNING,TITAN,TGA,0.6,40,10,26,33,1,N,
J104,J104_Op2,2,D,300,MILLING,TITAN,TGD,0.45,35,10,26,33,1,Y,V_Mill_Pro
J105,J105_Op1,1,E,120,MILLING,ALUM,TGC,0.38,30,5,11,18,3,Y,V_Mill_Std
J105,J105_Op2,2,E,120,TURNING,ALUM,TGD,0.25,20,5,11,18,3,N,
J106,J106_Op1,1,F,180,TURNING,STEEL,TGA,0.4,35,5,21,28,2,Y,V_Turn_Std
J106,J106_Op2,2,F,180,MILLING,STEEL,TGB,0.32,30,5,21,28,2,N,
J106,J106_Op3,3,F,180,GRINDING,STEEL,TGC,0.1,10,5,21,28,2,Y,V_Grind_Pro
J107,J107_Op1,1,G,90,MILLING,BRASS,TGD,0.7,45,5,24,31,4,N,
J107,J107_Op2,2,G,90,DRILLING,BRASS,TGA,0.2,15,5,24,31,4,N,
J108,J108_Op1,1,H,250,TURNING,TITAN,TGB,0.55,40,10,21,28,1,N,
J108,J108_Op2,2,H,250,MILLING,TITAN,TGC,0.5,45,10,21,28,1,Y,V_Mill_Pro
J109,J109_Op1,1,I,160,MILLING,ALUM,TGD,0.45,25,5,12,19,3,Y,V_Mill_Std
J109,J109_Op2,2,I,160,TURNING,ALUM,TGA,0.3,20,5,12,19,3,N,
J109,J109_Op3,3,I,160,DRILLING,ALUM,TGB,0.12,10,5,12,19,3,N,
J110,J110_Op1,1,J,110,TURNING,STEEL,TGC,0.65,40,5,2,9,2,Y,V_Turn_Std
J110,J110_Op2,2,J,110,MILLING,STEEL,TGD,0.58,35,5,2,9,2,N,
J111,J111_Op1,1,K,140,MILLING,BRASS,TGA,0.5,30,5,21,28,3,N,
J111,J111_Op2,2,K,140,DRILLING,BRASS,TGB,0.2,15,5,21,28,3,N,
J112,J112_Op1,1,L,220,TURNING,TITAN,TGC,0.55,40,10,26,33,2,Y,V_Turn_Pro
J112,J112_Op2,2,L,220,MILLING,TITAN,TGD,0.4,30,10,26,33,2,Y,V_Mill_Pro
J112,J112_Op3,3,L,220,GRINDING,TITAN,TGA,0.15,10,10,26,33,2,N,
J113,J113_Op1,1,M,70,MILLING,ALUM,TGB,0.6,35,5,12,19,4,Y,V_Mill_Std
J113,J113_Op2,2,M,70,TURNING,ALUM,TGC,0.45,25,5,12,19,4,N,
J114,J114_Op1,1,N,350,TURNING,STEEL,TGD,0.65,45,5,27,35,1,Y,V_Turn_Std
J114,J114_Op2,2,N,350,MILLING,STEEL,TGA,0.52,40,5,27,35,1,N,
J114,J114_Op3,3,N,350,GRINDING,STEEL,TGB,0.2,15,5,27,35,1,Y,V_Grind_Pro
J115,J115_Op1,1,O,130,MILLING,BRASS,TGC,0.48,30,5,10,17,3,N,
J115,J115_Op2,2,O,130,DRILLING,BRASS,TGD,0.22,15,5,10,17,3,N,
J116,J116_Op1,1,P,190,TURNING,TITAN,TGA,0.7,45,10,28,35,2,Y,V_Turn_Pro
J116,J116_Op2,2,P,190,MILLING,TITAN,TGB,0.6,40,10,28,35,2,N,
J117,J117_Op1,1,Q,100,MILLING,ALUM,TGC,0.55,35,5,30,37,4,Y,V_Mill_Std
J117,J117_Op2,2,Q,100,TURNING,ALUM,TGD,0.35,25,5,30,37,4,N,
J118,J118_Op1,1,R,280,TURNING,STEEL,TGA,0.6,40,5,30,37,1,Y,V_Turn_Std
J118,J118_Op2,2,R,280,MILLING,STEEL,TGB,0.48,35,5,30,37,1,N,
J118,J118_Op3,3,R,280,GRINDING,STEEL,TGC,0.15,10,5,30,37,1,Y,V_Grind_Pro
J119,J119_Op1,1,S,170,MILLING,BRASS,TGD,0.4,20,5,23,30,3,N,
J119,J119_Op2,2,S,170,DRILLING,BRASS,TGA,0.15,10,5,23,30,3,N,
J120,J120_Op1,1,T,120,TURNING,TITAN,TGB,0.75,50,10,25,32,2,Y,V_Turn_Pro
J120,J120_Op2,2,T,120,MILLING,TITAN,TGC,0.65,45,10,25,32,2,Y,V_Mill_Pro
J120,J120_Op3,3,T,120,GRINDING,TITAN,TGD,0.25,20,10,25,32,2,N,
J121,J121_Op1,1,U,160,MILLING,ALUM,TGA,0.35,25,5,19,26,3,Y,V_Mill_Std
J121,J121_Op2,2,U,160,TURNING,ALUM,TGB,0.2,15,5,19,26,3,N,
J122,J122_Op1,1,V,240,TURNING,STEEL,TGC,0.45,30,5,9,16,2,N,
