Job_ID,Operation_ID,Op_Seq,Part_Type,Quantity,Op_Type,Mat_Type,Tool_Group,Proc_Time_per_Unit,Setup_Time,Transfer_Min,Release_Day,Due_Day,Priority,Outsource_Flag,Vendor_Ref
J101,J101_Op1,1,A,150,MILLING,ALUM,TGA,0.43,30,5,33,5,3,Y,V_Mill_Std
J101,J101_Op2,2,A,150,TURNING,ALUM,TGB,0.27,20,5,33,5,3,N,N/A
J102,J102_Op1,1,B,200,TURNING,STEEL,TGC,0.3,35,5,33,8,2,Y,V_Turn_Std
J102,J102_Op2,2,B,200,MILLING,STEEL,TGA,0.22,25,5,33,8,2,N,N/A
J102,J102_Op3,3,B,200,GRINDING,STEEL,TGD,0.08,10,5,33,8,2,Y,V_Grind_Pro
J103,J103_Op1,1,C,80,MILLING,BRASS,TGB,0.56,25,5,34,3,4,Y,V_Mill_Std
J103,J103_Op2,2,C,80,DRILLING,BRASS,TGC,0.18,15,5,34,3,4,N,N/A
J104,J104_Op1,1,D,300,TURNING,TITAN,TGA,0.6,40,10,34,10,1,N,N/A
J104,J104_Op2,2,D,300,MILLING,TITAN,TGD,0.45,35,10,34,10,1,Y,V_Mill_Pro
J105,J105_Op1,1,E,120,MILLING,ALUM,TGC,0.38,30,5,35,6,3,Y,V_Mill_Std
J105,J105_Op2,2,E,120,TURNING,ALUM,TGD,0.25,20,5,35,6,3,N,N/A
J106,J106_Op1,1,F,180,TURNING,STEEL,TGA,0.4,35,5,35,7,2,Y,V_Turn_Std
J106,J106_Op2,2,F,180,MILLING,STEEL,TGB,0.32,30,5,35,7,2,N,N/A
J106,J106_Op3,3,F,180,GRINDING,STEEL,TGC,0.1,10,5,35,7,2,Y,V_Grind_Pro
J107,J107_Op1,1,G,90,MILLING,BRASS,TGD,0.7,45,5,36,4,4,N,N/A
J107,J107_Op2,2,G,90,DRILLING,BRASS,TGA,0.2,15,5,36,4,4,N,N/A
J108,J108_Op1,1,H,250,TURNING,TITAN,TGB,0.55,40,10,36,9,1,N,N/A
J108,J108_Op2,2,H,250,MILLING,TITAN,TGC,0.5,45,10,36,9,1,Y,V_Mill_Pro
J109,J109_Op1,1,I,160,MILLING,ALUM,TGD,0.45,25,5,37,6,3,Y,V_Mill_Std
J109,J109_Op2,2,I,160,TURNING,ALUM,TGA,0.3,20,5,37,6,3,N,N/A
J109,J109_Op3,3,I,160,DRILLING,ALUM,TGB,0.12,10,5,37,6,3,N,N/A
J110,J110_Op1,1,J,110,TURNING,STEEL,TGC,0.65,40,5,37,7,2,Y,V_Turn_Std
J110,J110_Op2,2,J,110,MILLING,STEEL,TGD,0.58,35,5,37,7,2,N,N/A
J111,J111_Op1,1,K,140,MILLING,BRASS,TGA,0.5,30,5,38,5,3,N,N/A
J111,J111_Op2,2,K,140,DRILLING,BRASS,TGB,0.2,15,5,38,5,3,N,N/A
J112,J112_Op1,1,L,220,TURNING,TITAN,TGC,0.55,40,10,38,8,2,Y,V_Turn_Pro
J112,J112_Op2,2,L,220,MILLING,TITAN,TGD,0.4,30,10,38,8,2,Y,V_Mill_Pro
J112,J112_Op3,3,L,220,GRINDING,TITAN,TGA,0.15,10,10,38,8,2,N,N/A
J113,J113_Op1,1,M,70,MILLING,ALUM,TGB,0.6,35,5,39,3,4,Y,V_Mill_Std
J113,J113_Op2,2,M,70,TURNING,ALUM,TGC,0.45,25,5,39,3,4,N,N/A
J114,J114_Op1,1,N,350,TURNING,STEEL,TGD,0.65,45,5,39,10,1,Y,V_Turn_Std
J114,J114_Op2,2,N,350,MILLING,STEEL,TGA,0.52,40,5,39,10,1,N,N/A
J114,J114_Op3,3,N,350,GRINDING,STEEL,TGB,0.2,15,5,39,10,1,Y,V_Grind_Pro
J115,J115_Op1,1,O,130,MILLING,BRASS,TGC,0.48,30,5,40,6,3,N,N/A
J115,J115_Op2,2,O,130,DRILLING,BRASS,TGD,0.22,15,5,40,6,3,N,N/A
J116,J116_Op1,1,P,190,TURNING,TITAN,TGA,0.7,45,10,40,7,2,Y,V_Turn_Pro
J116,J116_Op2,2,P,190,MILLING,TITAN,TGB,0.6,40,10,40,7,2,N,N/A
J117,J117_Op1,1,Q,100,MILLING,ALUM,TGC,0.55,35,5,41,4,4,Y,V_Mill_Std
J117,J117_Op2,2,Q,100,TURNING,ALUM,TGD,0.35,25,5,41,4,4,N,N/A
J118,J118_Op1,1,R,280,TURNING,STEEL,TGA,0.6,40,5,41,9,1,Y,V_Turn_Std
J118,J118_Op2,2,R,280,MILLING,STEEL,TGB,0.48,35,5,41,9,1,N,N/A
J118,J118_Op3,3,R,280,GRINDING,STEEL,TGC,0.15,10,5,41,9,1,Y,V_Grind_Pro
J119,J119_Op1,1,S,170,MILLING,BRASS,TGD,0.4,20,5,42,6,3,N,N/A
J119,J119_Op2,2,S,170,DRILLING,BRASS,TGA,0.15,10,5,42,6,3,N,N/A
J120,J120_Op1,1,T,120,TURNING,TITAN,TGB,0.75,50,10,42,7,2,Y,V_Turn_Pro
J120,J120_Op2,2,T,120,MILLING,TITAN,TGC,0.65,45,10,42,7,2,Y,V_Mill_Pro
J120,J120_Op3,3,T,120,GRINDING,TITAN,TGD,0.25,20,10,42,7,2,N,N/A
J121,J121_Op1,1,U,160,MILLING,ALUM,TGA,0.35,25,5,43,5,3,Y,V_Mill_Std
J121,J121_Op2,2,U,160,TURNING,ALUM,TGB,0.2,15,5,43,5,3,N,N/A
J122,J122_Op1,1,V,240,TURNING,STEEL,TGC,0.45,30,5,43,8,2,N,N/A
J122,J122_Op2,2,V,240,MILLING,STEEL,TGD,0.35,25,5,43,8,2,N,N/A
J122,J122_Op3,3,V,240,GRINDING,STEEL,TGA,0.1,10,5,43,8,2,Y,V_Grind_Std
J123,J123_Op1,1,W,95,MILLING,BRASS,TGB,0.65,40,5,44,3,4,Y,V_Mill_Std
J123,J123_Op2,2,W,95,DRILLING,BRASS,TGC,0.25,20,5,44,3,4,N,N/A
J124,J124_Op1,1,X,320,TURNING,TITAN,TGD,0.7,45,10,44,10,1,Y,V_Turn_Pro
J124,J124_Op2,2,X,320,MILLING,TITAN,TGA,0.55,40,10,44,10,1,N,N/A
J124,J124_Op3,3,X,320,GRINDING,TITAN,TGB,0.2,15,10,44,10,1,N,N/A
J125,J125_Op1,1,Y,140,MILLING,ALUM,TGC,0.5,30,5,45,6,3,Y,V_Mill_Std
J125,J125_Op2,2,Y,140,TURNING,ALUM,TGD,0.3,20,5,45,6,3,N,N/A
J126,J126_Op1,1,Z,210,TURNING,STEEL,TGA,0.5,35,5,45,7,2,N,N/A
J126,J126_Op2,2,Z,210,MILLING,STEEL,TGB,0.4,30,5,45,7,2,N,N/A
J126,J126_Op3,3,Z,210,GRINDING,STEEL,TGC,0.15,10,5,45,7,2,Y,V_Grind_Pro
J127,J127_Op1,1,AA,110,MILLING,BRASS,TGD,0.6,40,5,46,4,4,N,N/A
J127,J127_Op2,2,AA,110,DRILLING,BRASS,TGA,0.2,15,5,46,4,4,N,N/A
J128,J128_Op1,1,AB,300,TURNING,TITAN,TGB,0.65,45,10,46,9,1,Y,V_Turn_Pro
J128,J128_Op2,2,AB,300,MILLING,TITAN,TGC,0.55,40,10,46,9,1,Y,V_Mill_Pro
J129,J129_Op1,1,AC,180,MILLING,ALUM,TGD,0.4,25,5,47,6,3,Y,V_Mill_Std
J129,J129_Op2,2,AC,180,TURNING,ALUM,TGA,0.25,15,5,47,6,3,N,N/A
J129,J129_Op3,3,AC,180,DRILLING,ALUM,TGB,0.1,5,5,47,6,3,N,N/A
J130,J130_Op1,1,AD,130,TURNING,STEEL,TGC,0.55,35,5,47,7,2,N,N/A
J130,J130_Op2,2,AD,130,MILLING,STEEL,TGD,0.45,30,5,47,7,2,N,N/A
J131,J131_Op1,1,AE,170,MILLING,BRASS,TGA,0.5,30,5,48,5,3,Y,V_Mill_Std
J131,J131_Op2,2,AE,170,DRILLING,BRASS,TGB,0.2,15,5,48,5,3,N,N/A
J132,J132_Op1,1,AF,260,TURNING,TITAN,TGC,0.7,45,10,48,8,2,Y,V_Turn_Pro
J132,J132_Op2,2,AF,260,MILLING,TITAN,TGD,0.6,40,10,48,8,2,N,N/A
J132,J132_Op3,3,AF,260,GRINDING,TITAN,TGA,0.25,20,10,48,8,2,N,N/A
